1	9949
2	10180
3	9899
4	9902
5	10021
6	10070
7	9953
8	9901
9	10047
10	9964
11	10290
12	9869
13	10035
14	10099
15	10025
16	10001
17	10124
18	10056
19	9830
20	10003
21	9886
22	9945
23	10049
24	9991
25	10036
26	9914
27	10147
28	9895
29	10030
30	10127
31	9960
32	10123
33	10028
34	9930
35	10034
36	10088
37	10109
38	10041
39	10049
40	10115
41	9851
42	10029
43	9838
44	9783
45	9937
46	10014
47	10077
48	9945
49	9937
50	10051
51	10007
52	9959
53	9998
54	9903
55	9870
56	10114
57	9980
58	9944
59	9891
60	10144
61	9915
62	10101
63	9880
64	9994
65	10046
66	10079
67	9953
68	9855
69	9943
70	10160
71	10114
72	9845
73	9783
74	10006
75	10021
76	9993
77	9963
78	10068
79	9955
80	9808
81	10015
82	9786
83	10111
84	9950
85	9928
86	9973
87	10083
88	10035
89	9797
90	9910
91	10081
92	10020
93	9998
94	10004
95	9829
96	9835
97	9866
98	10031
99	10006
100	10134
101	9941
102	10043
103	10065
104	10063
105	9902
106	10064
107	9919
108	9978
109	10156
110	9888
111	9931
112	10149
113	10106
114	10210
115	9982
116	10097
117	9905
118	9705
119	9917
120	9840
121	10071
122	9987
123	10000
124	9974
125	9931
126	9873
127	10099
128	9945
129	10158
130	10011
131	10068
132	10031
133	10014
134	9986
135	9845
136	10190
137	9896
138	9933
139	9837
140	10171
141	10235
142	9884
143	9811
144	9992
145	9993
146	9915
147	9910
148	9902
149	9935
150	10071
151	10158
152	10143
153	9995
154	9833
155	10155
156	9938
157	10046
158	10056
159	9982
160	10128
161	9950
162	9933
163	9991
164	10072
165	10011
166	9998
167	9998
168	10083
169	9966
170	9996
171	9978
172	10169
173	10017
174	9896
175	10160
176	9929
177	9803
178	10134
179	10023
180	9858
181	9817
182	10094
183	10036
184	10248
185	9932
186	9809
187	10030
188	10025
189	9876
190	10134
191	9875
192	10114
193	10085
194	9985
195	9988
196	10046
197	9884
198	10021
199	10001
200	9807
201	9999
202	10124
203	10086
204	10081
205	10088
206	9803
207	10113
208	10125
209	10152
210	10035
211	10216
212	10008
213	9921
214	10026
215	10052
216	9910
217	10007
218	9989
219	9984
220	10084
221	9890
222	9964
223	9947
224	9960
225	9967
226	9988
227	9806
228	9925
229	9954
230	10129
231	9934
232	10020
233	10031
234	10080
235	9949
236	9888
237	10201
238	9902
239	9987
240	9997
241	9764
242	10035
243	9943
244	10006
245	9945
246	10188
247	9957
248	10062
249	9960
250	10013
251	9932
252	10107
253	10198
254	9859
255	9850
256	9831
257	9929
258	10064
259	9818
260	9942
261	9896
262	9899
263	10019
264	10029
265	10067
266	10053
267	9920
268	10188
269	9835
270	9962
271	10020
272	9919
273	9898
274	9836
275	9947
276	9965
277	10135
278	9986
279	9992
280	9913
281	9889
282	9840
283	10135
284	10041
285	10029
286	9882
287	10083
288	10089
289	10106
290	10068
291	9994
292	9956
293	9813
294	9836
295	9805
296	10114
297	10005
298	10003
299	9825
300	10104
301	10081
302	10074
303	9827
304	9883
305	9916
306	10048
307	9948
308	9992
309	9974
310	10076
311	10010
312	10038
313	9937
314	10059
315	10101
316	10172
317	9997
318	9953
319	10221
320	10086
321	9956
322	10386
323	9964
324	10040
325	10024
326	9958
327	9912
328	10005
329	10086
330	10168
331	9980
332	9898
333	10036
334	10218
335	10111
336	9913
337	9976
338	10057
339	10137
340	10119
341	10095
342	9914
343	9998
344	10000
345	9930
346	10055
